Using cpu device
---------------------------------
| rollout/           |          |
|    value_loss           | 5.67e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.4         |
|    ep_rew_mean          | -889         |
| time/                   |              |
|    fps                  | 318          |
|    iterations           | 17           |
|    time_elapsed         | 218          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0126655605 |
|    clip_fraction        | 0.127        |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.00143      |
|    learning_rate        | 0.0003       |
|    loss                 | 2.97e+04     |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0411      |
|    std                  | 0.996        |
|    value_loss           | 5.79e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.3        |
|    ep_rew_mean          | -855        |
| time/                   |             |
|    fps                  | 317         |
|    iterations           | 18          |
|    time_elapsed         | 232         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.012650417 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00159     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.31e+04    |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0414     |
|    std                  | 0.994       |
|    value_loss           | 4.27e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.1        |
|    ep_rew_mean          | -784        |
| time/                   |             |
|    fps                  | 316         |
|    iterations           | 19          |
|    time_elapsed         | 245         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.011687385 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00205     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.21e+04    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0399     |
|    std                  | 0.994       |
|    value_loss           | 4.99e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.3        |
|    ep_rew_mean          | -869        |
| time/                   |             |
|    fps                  | 315         |
|    iterations           | 20          |
|    time_elapsed         | 259         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.012461312 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00233     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.5e+04     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0396     |
|    std                  | 0.995       |
|    value_loss           | 4.12e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.6       |
|    ep_rew_mean          | -923       |
| time/                   |            |
|    fps                  | 313        |
|    iterations           | 21         |
|    time_elapsed         | 274        |
|    total_timesteps      | 86016      |
| train/                  |            |
|    approx_kl            | 0.01128124 |
|    clip_fraction        | 0.11       |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.2      |
|    explained_variance   | 0.00294    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.69e+04   |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.038     |
|    std                  | 0.994      |
|    value_loss           | 5.04e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.3        |
|    ep_rew_mean          | -820        |
| time/                   |             |
|    fps                  | 311         |
|    iterations           | 22          |
|    time_elapsed         | 289         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.012133231 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00328     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.73e+04    |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.037      |
|    std                  | 0.997       |
|    value_loss           | 4.68e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.7        |
|    ep_rew_mean          | -852        |
| time/                   |             |
|    fps                  | 309         |
|    iterations           | 23          |
|    time_elapsed         | 304         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.011952345 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00513     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.05e+04    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0397     |
|    std                  | 0.995       |
|    value_loss           | 4.42e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.8        |
|    ep_rew_mean          | -924        |
| time/                   |             |
|    fps                  | 307         |
|    iterations           | 24          |
|    time_elapsed         | 319         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.011502648 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00734     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.12e+04    |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.037      |
|    std                  | 0.996       |
|    value_loss           | 4.04e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.1        |
|    ep_rew_mean          | -883        |
| time/                   |             |
|    fps                  | 305         |
|    iterations           | 25          |
|    time_elapsed         | 334         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.010250533 |
|    clip_fraction        | 0.0877      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00708     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.42e+04    |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.995       |
|    value_loss           | 4.91e+04    |
-----------------------------------------
 100% ----------------------- 102,400/100,000  [ 0:05:27 < 0:00:00 , 302 it/s ]
Checkpoint saved to C:\cosmos-node\node-data\config\CascadeProjects\windsurf-project\junoclaw\sim2real\checkpoints\ppo_recovery.zip (100000/1000000 steps)
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52       |
|    ep_rew_mean     | -830     |
| time/              |          |
|    fps             | 328      |
|    iterations      | 1        |
|    time_elapsed    | 12       |
|    total_timesteps | 106496   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.8        |
|    ep_rew_mean          | -867        |
| time/                   |             |
|    fps                  | 295         |
|    iterations           | 2           |
|    time_elapsed         | 27          |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.012266202 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.00853     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.56e+04    |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.041      |
|    std                  | 0.998       |
|    value_loss           | 4.38e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.4        |
|    ep_rew_mean          | -812        |
| time/                   |             |
|    fps                  | 283         |
|    iterations           | 3           |
|    time_elapsed         | 43          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.010785749 |
|    clip_fraction        | 0.0905      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.0108      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.49e+04    |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0322     |
|    std                  | 0.999       |
|    value_loss           | 4.92e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.6        |
|    ep_rew_mean          | -826        |
| time/                   |             |
|    fps                  | 277         |
|    iterations           | 4           |
|    time_elapsed         | 58          |
|    total_timesteps      | 118784      |
| train/                  |             |
|    approx_kl            | 0.010678954 |
|    clip_fraction        | 0.0938      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.0148      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.27e+04    |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0346     |
|    std                  | 0.999       |
|    value_loss           | 4.3e+04     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | -962        |
| time/                   |             |
|    fps                  | 276         |
|    iterations           | 5           |
|    time_elapsed         | 74          |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.011055404 |
|    clip_fraction        | 0.0915      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.0188      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.21e+04    |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.999       |
|    value_loss           | 4.08e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.6        |
|    ep_rew_mean          | -927        |
| time/                   |             |
|    fps                  | 274         |
|    iterations           | 6           |
|    time_elapsed         | 89          |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.008086729 |
|    clip_fraction        | 0.0455      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.0256      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.34e+04    |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0246     |
|    std                  | 0.998       |
|    value_loss           | 5.64e+04    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 51.5      |
|    ep_rew_mean          | -759      |
| time/                   |           |
|    fps                  | 271       |
|    iterations           | 7         |
|    time_elapsed         | 105       |
|    total_timesteps      | 131072    |
| train/                  |           |
|    approx_kl            | 0.0086053 |
|    clip_fraction        | 0.059     |
|    clip_range           | 0.2       |
|    entropy_loss         | -21.2     |
|    explained_variance   | 0.0329    |
|    learning_rate        | 0.0003    |
|    loss                 | 2.48e+04  |
|    n_updates            | 310       |
|    policy_gradient_loss | -0.0272   |
|    std                  | 0.998     |
|    value_loss           | 4.75e+04  |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.9         |
|    ep_rew_mean          | -778         |
| time/                   |              |
|    fps                  | 271          |
|    iterations           | 8            |
|    time_elapsed         | 120          |
|    total_timesteps      | 135168       |
| train/                  |              |
|    approx_kl            | 0.0076441574 |
|    clip_fraction        | 0.0383       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.0429       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.07e+04     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.0229      |
|    std                  | 0.996        |
|    value_loss           | 4.41e+04     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 52.6       |
|    ep_rew_mean          | -818       |
| time/                   |            |
|    fps                  | 270        |
|    iterations           | 9          |
|    time_elapsed         | 136        |
|    total_timesteps      | 139264     |
| train/                  |            |
|    approx_kl            | 0.00751523 |
|    clip_fraction        | 0.0375     |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.2      |
|    explained_variance   | 0.0808     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.33e+04   |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0228    |
|    std                  | 0.996      |
|    value_loss           | 4.12e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.5        |
|    ep_rew_mean          | -854        |
| time/                   |             |
|    fps                  | 269         |
|    iterations           | 10          |
|    time_elapsed         | 151         |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.006242258 |
|    clip_fraction        | 0.0224      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.119       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84e+04    |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0197     |
|    std                  | 0.995       |
|    value_loss           | 4.41e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.3         |
|    ep_rew_mean          | -904         |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 11           |
|    time_elapsed         | 167          |
|    total_timesteps      | 147456       |
| train/                  |              |
|    approx_kl            | 0.0059150085 |
|    clip_fraction        | 0.0186       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.167        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.67e+04     |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.0177      |
|    std                  | 0.996        |
|    value_loss           | 4.36e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | -819        |
| time/                   |             |
|    fps                  | 269         |
|    iterations           | 12          |
|    time_elapsed         | 182         |
|    total_timesteps      | 151552      |
| train/                  |             |
|    approx_kl            | 0.006177046 |
|    clip_fraction        | 0.0207      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.176       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.01e+04    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0185     |
|    std                  | 0.995       |
|    value_loss           | 3.81e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.7        |
|    ep_rew_mean          | -812        |
| time/                   |             |
|    fps                  | 268         |
|    iterations           | 13          |
|    time_elapsed         | 198         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.006898653 |
|    clip_fraction        | 0.0302      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.157       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.34e+04    |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0209     |
|    std                  | 0.994       |
|    value_loss           | 4.51e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52           |
|    ep_rew_mean          | -748         |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 14           |
|    time_elapsed         | 212          |
|    total_timesteps      | 159744       |
| train/                  |              |
|    approx_kl            | 0.0054216576 |
|    clip_fraction        | 0.0151       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.239        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.32e+04     |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.0173      |
|    std                  | 0.995        |
|    value_loss           | 2.82e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53           |
|    ep_rew_mean          | -809         |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 15           |
|    time_elapsed         | 228          |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0048646675 |
|    clip_fraction        | 0.0115       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.235        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.28e+04     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.0159      |
|    std                  | 0.995        |
|    value_loss           | 4.14e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52           |
|    ep_rew_mean          | -746         |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 16           |
|    time_elapsed         | 243          |
|    total_timesteps      | 167936       |
| train/                  |              |
|    approx_kl            | 0.0063085947 |
|    clip_fraction        | 0.0196       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.232        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.37e+04     |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.0176      |
|    std                  | 0.995        |
|    value_loss           | 2.89e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.5         |
|    ep_rew_mean          | -867         |
| time/                   |              |
|    fps                  | 270          |
|    iterations           | 17           |
|    time_elapsed         | 256          |
|    total_timesteps      | 172032       |
| train/                  |              |
|    approx_kl            | 0.0048500355 |
|    clip_fraction        | 0.0111       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.252        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.4e+04      |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.0159      |
|    std                  | 0.996        |
|    value_loss           | 2.8e+04      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.3         |
|    ep_rew_mean          | -780         |
| time/                   |              |
|    fps                  | 270          |
|    iterations           | 18           |
|    time_elapsed         | 272          |
|    total_timesteps      | 176128       |
| train/                  |              |
|    approx_kl            | 0.0062150694 |
|    clip_fraction        | 0.0212       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.202        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.78e+04     |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.02        |
|    std                  | 0.994        |
|    value_loss           | 4.38e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.8         |
|    ep_rew_mean          | -956         |
| time/                   |              |
|    fps                  | 269          |
|    iterations           | 19           |
|    time_elapsed         | 289          |
|    total_timesteps      | 180224       |
| train/                  |              |
|    approx_kl            | 0.0069562793 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.233        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.22e+04     |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.0206      |
|    std                  | 0.994        |
|    value_loss           | 4.37e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.9         |
|    ep_rew_mean          | -882         |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 20           |
|    time_elapsed         | 306          |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0065507623 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.251        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.11e+04     |
|    n_updates            | 440          |
